District,Month,Visitors_2016,Visitors_2017,Visitors_2018,Visitors_2019,Visitors_2020
Adilabad,January,792136,318799,320356,25071,621850
Adilabad,February,937820,83316,36550,406177,29421
Adilabad,March,582946,27508,23011,14347,9430
Adilabad,April,341948,13946,14183,9972,
Adilabad,May,252887,11752,8197,6997,
Adilabad,June,368237,26859,12052,9161,1909
Adilabad,July,447562,52386,24666,11791,549
Adilabad,August,614285,34876,38939,108173,654
Adilabad,September,491279,42699,25875,37589,3978
Adilabad,October,94184,41666,30257,38184,15128
Adilabad,November,99148,117322,49181,70344,27525
Adilabad,December,53125,54251,61476,38089,61403
Bhadradri Kothagudem ,January, ,302315,421275,283365,269310
Bhadradri Kothagudem ,February, ,251359,240634,229159,238140
Bhadradri Kothagudem ,March, ,243943,421275,225448,79871
Bhadradri Kothagudem ,April, ,667459,341258,349585,
Bhadradri Kothagudem ,May, ,311626,291273,275800,
Bhadradri Kothagudem ,June, ,351742,290512,9761776,15399
Bhadradri Kothagudem ,July, ,258114,220304,233338,15130
Bhadradri Kothagudem ,August, ,316438,219548,271941,26350
Bhadradri Kothagudem ,September, ,381784,334878,314199,30957
Bhadradri Kothagudem ,October,310133,334504,322974,287432,49203
Bhadradri Kothagudem ,November,252127,281515,253464,298366,76900
Bhadradri Kothagudem ,December,326770,393518,442483,287328,80842
Hyderabad,January,1122510,1924695,1978396,1426500,1157153
Hyderabad,February,778748,1886698,1365837,983147,868641
Hyderabad,March,1017794,1783903,1415938,1009991,321650
Hyderabad,April,1127738,2366793,1586375,1045933,
Hyderabad,May,1287181,2266793,1189492,1305748,
Hyderabad,June,12032661,2007060,1595067,1262995,
Hyderabad,July,1096754,1890870,1470042,1094861,
Hyderabad,August,1061137,1976980,1591470,1121380,
Hyderabad,September,832987,2011280,1508086,959930,21861
Hyderabad,October,901960,2202316,2207478,1240643,167510
Hyderabad,November,909733,1971438,1671320,1073665,272276
Hyderabad,December,1225502,4871416,1964150,1277569,442895
Jagtial ,January, ,174477,614082,211913,340174
Jagtial ,February, ,159659,349576,215105,186484
Jagtial ,March, ,323658,416716,194090,347014
Jagtial ,April, ,330540,372874,447226,
Jagtial ,May, ,468038,641363,500206,
Jagtial ,June, ,418103,182505,235363,14228
Jagtial ,July, ,247254,182473,157419,41752
Jagtial ,August, ,386458,272685,151570,34496
Jagtial ,September, ,143102,273121,157564,83012
Jagtial ,October,201249,248504,138206,165070,83004
Jagtial ,November,214534,348042,277997,277630,154438
Jagtial ,December,207294,393566,231323,372959,155757
Jangaon ,January, ,12280,17180,28750,28150
Jangaon ,February, ,12610,18600,28810,26390
Jangaon ,March, ,8450,17300,27300,21430
Jangaon ,April, ,9788,18100,26160,
Jangaon ,May, ,12130,19660,26740,
Jangaon ,June, ,13750,23050,25820,
Jangaon ,July, ,16050,26280,24160,2600
Jangaon ,August, ,15680,26020,27800,2750
Jangaon ,September, ,15600,28830,28640,2700
Jangaon ,October,14770,16130,29470,27840,3050
Jangaon ,November,13210,16360,29570,28410,12070
Jangaon ,December,12680,16880,36962,28460,11860
Jayashankar Bhoopalpally,January, ,96560,6519850,197430,50500
Jayashankar Bhoopalpally,February, ,96850,8626250,33500,59000
Jayashankar Bhoopalpally,March, ,81400,146150,37500,34200
Jayashankar Bhoopalpally,April, ,90700,149150,38500,
Jayashankar Bhoopalpally,May, ,91150,152050,30800,
Jayashankar Bhoopalpally,June, ,93650,159400,40500,
Jayashankar Bhoopalpally,July, ,94700,128550,45500,5600
Jayashankar Bhoopalpally,August, ,118350,184700,45000,7000
Jayashankar Bhoopalpally,September, ,112600,192300,50500,7600
Jayashankar Bhoopalpally,October,76360,115250,195400,46000,8000
Jayashankar Bhoopalpally,November,81580,116800,196500,51500,15000
Jayashankar Bhoopalpally,December,85460,723000,245625,45800,15200
Jogulamba Gadwal ,January, ,214887,146441,146441,146441
Jogulamba Gadwal ,February, ,481110,481110,481110,481110
Jogulamba Gadwal ,March, ,155013,155013,155013,24013
Jogulamba Gadwal ,April, ,131426,138673,82334,
Jogulamba Gadwal ,May, ,131426,131426,154609,
Jogulamba Gadwal ,June, ,160182,160182,155013,26013
Jogulamba Gadwal ,July, ,160182,114951,114951,88182
Jogulamba Gadwal ,August, ,131485,123733,123733,106925
Jogulamba Gadwal ,September, ,123733,121710,131485,131485
Jogulamba Gadwal ,October,152898,152898,152898,152898,116753
Jogulamba Gadwal ,November,188170,188170,128075,128075,228325
Jogulamba Gadwal ,December,182333,214887,182333,182333,184380
Kamareddy ,January, ,58,44,42,45
Kamareddy ,February, ,50,44,41,42
Kamareddy ,March, ,41,45,45,30
Kamareddy ,April, ,46,45,41,
Kamareddy ,May, ,60,49,46,
Kamareddy ,June, ,41,56,41,
Kamareddy ,July, ,41,48,50,38
Kamareddy ,August, ,40,55,50,42
Kamareddy ,September, ,41,40,41,55
Kamareddy ,October,47,38,62,46,39
Kamareddy ,November,38,43,41,46,46
Kamareddy ,December,42,41,43,45,48
Karimnagar ,January,1984442,14425,13505,10285,12057
Karimnagar ,February,779960,10845,9330,6480,8359
Karimnagar ,March,1018399,9625,7205,6634,6100
Karimnagar ,April,956959,8630,5830,5623,
Karimnagar ,May,1095642,8890,5689,3393,
Karimnagar ,June,914746,10542,7180,3871,540
Karimnagar ,July,401047,12350,6686,5192,850
Karimnagar ,August,1018399,10952,8480,5480,2500
Karimnagar ,September,956959,7576,8480,8735,2250
Karimnagar ,October,13675,8371,6118,6799,3258
Karimnagar ,November,13350,8705,7145,7101,4100
Karimnagar ,December,13890,13065,7800,7898,4200
Khammam,January,651827,132528,110094,123550,114752
Khammam,February,407533,115470,104444,98471,114417
Khammam,March,458527,101878,127152,91340,57137
Khammam,April,971622,135920,126553,135920,
Khammam,May,433994,138799,135189,130971,
Khammam,June,445862,138158,135988,127270,12806
Khammam,July,414963,105102,85932,103260,9104
Khammam,August,503654,129159,86309,111374,7942
Khammam,September,368437,140821,143465,133754,9078
Khammam,October,121575,155943,127645,128625,27858
Khammam,November,110634,110800,99070,104380,40647
Khammam,December,116403,137825,135600,124525,37084
Komaram Bheem Asifabad,January, ,2241,2863,2476,2463
Komaram Bheem Asifabad,February, ,2490,2736,1449,1593
Komaram Bheem Asifabad,March, ,2767,1826,1212,812
Komaram Bheem Asifabad,April, ,3074,868,663,
Komaram Bheem Asifabad,May, ,3416,793,493,
Komaram Bheem Asifabad,June, ,3796,990,506,60
Komaram Bheem Asifabad,July, ,3713,1954,1287,56
Komaram Bheem Asifabad,August, ,3665,2263,2572,55
Komaram Bheem Asifabad,September, ,3934,1819,1629,165
Komaram Bheem Asifabad,October,0,14050,2525,1943,533
Komaram Bheem Asifabad,November,0,3627,1741,2176,637
Komaram Bheem Asifabad,December,0,4218,2176,2783,649
Mahabubabad ,January, ,13260,14000,13480,12290
Mahabubabad ,February, ,13045,14230,13545,12180
Mahabubabad ,March, ,9100,13110,13490,8300
Mahabubabad ,April, ,9140,12915,12980,
Mahabubabad ,May, ,10220,12865,11970,
Mahabubabad ,June, ,10130,13910,11460,
Mahabubabad ,July, ,10170,13970,13470,1400
Mahabubabad ,August, ,12520,13200,12190,1800
Mahabubabad ,September, ,13140,13420,13210,1950
Mahabubabad ,October,13032,13750,13550,12260,2200
Mahabubabad ,November,114015,13560,13700,12470,3450
Mahabubabad ,December,12955,13780,17125,12360,3370
Mahbubnagar,January,577071,446135,156153,168082,122530
Mahbubnagar,February,1312068,805392,788083,798949,552303
Mahbubnagar,March,1731983,178256,166863,173658,25577
Mahbubnagar,April,622432,208694,196061,183268,
Mahbubnagar,May,571898,214209,193478,175202,
Mahbubnagar,June,561006,179210,165553,175853,20956
Mahbubnagar,July,562322,179099,161841,100398,60255
Mahbubnagar,August,1133105,215229,169154,104787,73928
Mahbubnagar,September,567712,180675,167833,141387,135984
Mahbubnagar,October,198592,196103,193152,130227,94083
Mahbubnagar,November,256375,259060,295910,234066,98683
Mahbubnagar,December,210202,426167,198227,148938,111514
Mancherial,January, ,2937,71955,18420,25661
Mancherial,February, ,3130,38599,26325,41809
Mancherial,March, ,2775,20749,16253,9855
Mancherial,April, ,1513,38483,23026,
Mancherial,May, ,1424,26179,26616,
Mancherial,June, ,2119,31667,24593,210
Mancherial,July, ,33591,27937,22303,290
Mancherial,August, ,26104,31861,21191,302
Mancherial,September, ,24297,23141,24079,2758
Mancherial,October,3124,37671,30740,20867,4745
Mancherial,November,2255,25737,25197,29302,6717
Mancherial,December,2423,30328,31496,16835,10439
Medak ,January,92600,523000,100000,400000,286340
Medak ,February,215000,543321,1000000,600000,818750
Medak ,March,1318000,548535,600000,1000000,288800
Medak ,April,300000,554864,200000,650000,
Medak ,May,198000,556891,300000,400000,
Medak ,June,166700,561469,500000,300000,5300
Medak ,July,153300,575300,150000,350000,4325
Medak ,August,216100,632830,50000,349900,15380
Medak ,September,132600,696113,100000,350400,15880
Medak ,October,15600,765724,300000,350000,17380
Medak ,November,132300,842296,200000,351560,45000
Medak ,December,523000,926526,400000,350710,55000
Medchal ,January, , , , , 
Medchal ,February, , , , , 
Medchal ,March, , , , , 
Medchal ,April, , , , , 
Medchal ,May, , , , , 
Medchal ,June, , , , , 
Medchal ,July, , , , , 
Medchal ,August, , , , , 
Medchal ,September, , , , , 
Medchal ,October, , , , , 
Medchal ,November, , , , , 
Medchal ,December, , , , , 
Mulugu,January,,,,0,3653000
Mulugu,February,,,,159640,9157200
Mulugu,March,,,,156610,118500
Mulugu,April,,,,152570,
Mulugu,May,,,,154550,
Mulugu,June,,,,163480,
Mulugu,July,,,,167700,4550
Mulugu,August,,,,171050,8300
Mulugu,September,,,,172900,11300
Mulugu,October,,,,172500,17600
Mulugu,November,,,,173700,57200
Mulugu,December,,,,175100,60900
Nagarkurnool ,January, ,382879,228812,228812,228812
Nagarkurnool ,February, ,286258,286258,286258,286258
Nagarkurnool ,March, ,184508,184508,184508,32333
Nagarkurnool ,April, ,183697,174592,121460,
Nagarkurnool ,May, ,183697,183697,184372,
Nagarkurnool ,June, ,180010,180010,184508,34508
Nagarkurnool ,July, ,180010,93450,93450,66655
Nagarkurnool ,August, ,181861,118010,118010,80155
Nagarkurnool ,September, ,118010,118449,175712,175712
Nagarkurnool ,October,201050,201050,201050,196160,95788
Nagarkurnool ,November,188786,188786,121452,121425,77869
Nagarkurnool ,December,198637,382879,198637,198637,85280
Nalgonda,January,566515,4447,36205,21284,10127
Nalgonda,February,539467,8652,9971,13697,9154
Nalgonda,March,619462,8054,9677,8467,772
Nalgonda,April,601253,44295,9779,7202,
Nalgonda,May,628872,10750,10241,26338,
Nalgonda,June,551239,37879,9066,5558,218
Nalgonda,July,582820,21361,9668,19783,224
Nalgonda,August,988102,9363,10135,7473,558
Nalgonda,September,742402,17465,21365,5230,2480
Nalgonda,October,3508,36066,22332,5290,8541
Nalgonda,November,21046,17687,5422,7177,6242
Nalgonda,December,13775,25897,6777,13419,8514
Narayanapet,January,,,,,47272
Narayanapet,February,,,,,244657
Narayanapet,March,,,,,21907
Narayanapet,April,,,,,
Narayanapet,May,,,,,
Narayanapet,June,,,,,20907
Narayanapet,July,,,,68842,39820
Narayanapet,August,,,,72249,34777
Narayanapet,September,,,,62841,62841
Narayanapet,October,,,,58213,52309
Narayanapet,November,,,,62750,49597
Narayanapet,December,,,,64355,56031
Nirmal,January, ,340311,480241,313675,368292
Nirmal,February, ,415326,335447,443898,299646
Nirmal,March, ,442057,328099,424964,253116
Nirmal,April, ,274132,368645,327971,
Nirmal,May, ,297233,342650,149705,
Nirmal,June, ,340359,355197,349747,5040
Nirmal,July, ,328101,335356,359495,9212
Nirmal,August, ,340430,313910,334646,10336
Nirmal,September, ,528540,293859,299827,13377
Nirmal,October,475955,388644,373291,263412,28586
Nirmal,November,201388,369365,289169,253388,73126
Nirmal,December,239267,340585,361461,296050,110808
Nizamabad,January,576,613,2495,878,7540
Nizamabad,February,869,1752,7152,915,6400
Nizamabad,March,408,660,2903,938,6750
Nizamabad,April,476,1048,3550,958,
Nizamabad,May,554,1341,5360,1193,
Nizamabad,June,367,2391,1761,686,
Nizamabad,July,644,1520,5882,990,1620
Nizamabad,August,589,1583,10525,1004,2020
Nizamabad,September,553,933,475,6572,10050
Nizamabad,October,434,6644,490,8849,6310
Nizamabad,November,617,1677,475,11950,10900
Nizamabad,December,355,1787,355,11400,40400
Peddapalli,January, ,1345,2670,1055,2945
Peddapalli,February, ,1378,2695,1157,2315
Peddapalli,March, ,965,2325,895,1450
Peddapalli,April, ,750,1940,942,
Peddapalli,May, ,640,1499,802,
Peddapalli,June, ,885,1580,735,445
Peddapalli,July, ,1095,1580,1085,250
Peddapalli,August, ,1385,1595,1505,1250
Peddapalli,September, ,1155,1475,1785,800
Peddapalli,October,950,1595,1545,2080,600
Peddapalli,November,1145,1940,1655,2225,650
Peddapalli,December,1149,1765,1695,2315,1105
Rajanna Sircilla ,January, ,615842,2238074,6188298,2298291
Rajanna Sircilla ,February, ,1255569,1021787,1015550,963871
Rajanna Sircilla ,March, ,1030441,1022669,1444971,885559
Rajanna Sircilla ,April, ,1146782,833874,1148062,
Rajanna Sircilla ,May, ,1117228,1021952,1018131,
Rajanna Sircilla ,June, ,1113882,320886,1128849,76026
Rajanna Sircilla ,July, ,462022,937720,422961,60636
Rajanna Sircilla ,August, ,1004410,320952,586118,110783
Rajanna Sircilla ,September, ,487060,818693,501293,121976
Rajanna Sircilla ,October,534484,845620,506563,646492,181929
Rajanna Sircilla ,November,864077,1191129,840933,1259371,391170
Rajanna Sircilla ,December,778240,1649362,950128,1472801,535298
Ranga Reddy,January, , , , , 
Ranga Reddy,February, , , , , 
Ranga Reddy,March, , , , , 
Ranga Reddy,April, , , , , 
Ranga Reddy,May, , , , , 
Ranga Reddy,June, , , , , 
Ranga Reddy,July, , , , , 
Ranga Reddy,August, , , , , 
Ranga Reddy,September, , , , , 
Ranga Reddy,October, , , , , 
Ranga Reddy,November, , , , , 
Ranga Reddy,December, , , , , 
Sangareddy ,January, ,195000,254000,144000,213000
Sangareddy ,February, ,140000,540000,148000,755000
Sangareddy ,March, ,275000,158500,747000,235000
Sangareddy ,April, ,215000,162500,205000,
Sangareddy ,May, ,215000,157000,133000,
Sangareddy ,June, ,180000,93500,347000,9500
Sangareddy ,July, ,195000,108600,467000,27400
Sangareddy ,August, ,295000,205000,466150,45400
Sangareddy ,September, ,200000,125000,468350,47900
Sangareddy ,October,274000,232000,171800,467470,55400
Sangareddy ,November,349000,324500,160000,481720,149000
Sangareddy ,December,155000,356950,134000,478470,167000
Siddipet,January, ,80500,253000,140793,473350
Siddipet,February, ,80500,44000,199549,204885
Siddipet,March, ,80500,164800,204600,123000
Siddipet,April, ,80500,115000,184412,
Siddipet,May, ,80500,165200,110500,
Siddipet,June, ,60000,104300,1037000,19846
Siddipet,July, ,88550,54000,179320,23864
Siddipet,August, ,97405,100000,190750,27307
Siddipet,September, ,107146,55000,122550,30980
Siddipet,October,123500,117861,43000,191330,73367
Siddipet,November,154400,129647,135000,209130,72049
Siddipet,December,80500,142612,50000,217930,173000
Suryapet,January, ,0,,, 
Suryapet,February, ,0,,, 
Suryapet,March, ,0,,, 
Suryapet,April, ,0,,, 
Suryapet,May, ,0,,, 
Suryapet,June, ,0,,, 
Suryapet,July, ,0,,, 
Suryapet,August, ,0,,, 
Suryapet,September, ,0,,, 
Suryapet,October,0,0,,, 
Suryapet,November,0,0,,, 
Suryapet,December,0,0,,, 
Vikarabad,January, , , , , 
Vikarabad,February, , , , , 
Vikarabad,March, , , , , 
Vikarabad,April, , , , , 
Vikarabad,May, , , , , 
Vikarabad,June, , , , , 
Vikarabad,July, , , , , 
Vikarabad,August, , , , , 
Vikarabad,September, , , , , 
Vikarabad,October, , , , , 
Vikarabad,November, , , , , 
Vikarabad,December, , , , , 
Wanaparthy ,January, ,22152,28131,28131,28131
Wanaparthy ,February, ,22342,22341,22342,22342
Wanaparthy ,March, ,20050,20050,20050,7050
Wanaparthy ,April, ,11502,10550,23749,
Wanaparthy ,May, ,11502,11502,20010,
Wanaparthy ,June, ,19092,19092,20050,4050
Wanaparthy ,July, ,19092,32625,32625,17092
Wanaparthy ,August, ,21375,35860,35860,30860
Wanaparthy ,September, ,35860,32002,21375,21375
Wanaparthy ,October,21234,21234,21234,21234,29683
Wanaparthy ,November,18348,18348,32657,32657,29036
Wanaparthy ,December,20556,22152,20556,20556,27057
Warangal (Rural),January, ,8000,25200,28700,31550
Warangal (Rural),February, ,8300,26300,28800,31050
Warangal (Rural),March, ,7800,26200,29000,26050
Warangal (Rural),April, ,7600,21600,26900,
Warangal (Rural),May, ,8500,22100,24900,
Warangal (Rural),June, ,9000,23100,27100,
Warangal (Rural),July, ,13600,25900,28600,560
Warangal (Rural),August, ,13650,25700,31600,870
Warangal (Rural),September, ,13800,25800,32600,1550
Warangal (Rural),October,8200,16500,26000,31100,2060
Warangal (Rural),November,6050,16300,24050,32150,7550
Warangal (Rural),December,5150,21200,30062,32050,7530
Warangal (Urban),January,1985815,130608,137530,151545,157630
Warangal (Urban),February,20703778,126608,145750,157755,157950
Warangal (Urban),March,568397,118298,140300,154305,102520
Warangal (Urban),April,317643,107133,142510,150425,
Warangal (Urban),May,373788,109915,143425,143230,
Warangal (Urban),June,365332,111530,135615,144400,
Warangal (Urban),July,340320,116545,136560,145440,7300
Warangal (Urban),August,368755,116810,136760,148030,9150
Warangal (Urban),September,379210,117150,138780,151070,12050
Warangal (Urban),October,128247,119255,140948,147450,18350
Warangal (Urban),November,129250,119360,144515,153880,91120
Warangal (Urban),December,127500,126790,180643,147700,92455
Yadadri Bhongir,January, ,678000,2016000,479293,493002
Yadadri Bhongir,February, ,540500,3073872,56525,527311
Yadadri Bhongir,March, ,525588,2836580,481923,125380
Yadadri Bhongir,April, ,570000,692370,441150,
Yadadri Bhongir,May, ,458700,781842,345790,
Yadadri Bhongir,June, ,685880,577570,370566,76480
Yadadri Bhongir,July, ,481240,671156,332770,25375
Yadadri Bhongir,August, ,680720,526445,389010,110587
Yadadri Bhongir,September, ,678925,819350,366862,110595
Yadadri Bhongir,October,584800,683500,586475,381860,481320
Yadadri Bhongir,November,681000,537600,485208,365990,381150
Yadadri Bhongir,December,462800,481075,606510,477635,321254
